カテゴリ,講座名,ユニット番号,ユニット名,スライド番号,スライドタイトル,スライドタイトル,スライドタイトル,スライドタイトル,スライドタイトル,Googleスライド,Canvaスライド,Canva動画,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,11,連絡と報告の違い：混同すると信頼を失う,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,12,「ちょっといいですか？」が嫌われる理由,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,13,相談は「困っています」ではなく「こう考えましたが」,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,14,相談する前に考えるべき3つのこと,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,15,上司の忙しいタイミングを見極める観察力,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,16,報連相で評価が上がる人・下がる人の決定的な差,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,17,メールとチャットと口頭：使い分けの鉄則,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,18,ドーパミン効果：小さな報告でモチベーションを維持,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,19,報連相の「型」を身につける21日間の習慣化メソッド,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,20,上司が喜ぶ「ありがとうございます」の正しいタイミング,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,1,報連相の実践強化（上司の指示の受け方）,21,実践ワーク：明日から使える報連相チェックリスト,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,1,なぜあなたの仕事はいつも締め切りギリギリなのか,5,5,5,5,入社3ヶ月フォローアップ講座_Unit2_完全版,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,2,脳は1度に1つのことしか処理できない：マルチタスクの罠,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,3,アイゼンハワーマトリクスで仕事を4分類する,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,4,「緊急×重要」の判断軸を3秒で見極める方法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,5,行動経済学の「現在バイアス」が締め切りを遅らせる,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,6,優先順位をつけるときの3つの質問,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,7,「全部重要」と言われたときの対処法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,8,タスクを「分解」すると仕事が10倍速くなる,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,9,PDCAサイクルとは：Plan→Do→Check→Action,5,5,5,3,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,10,Plan（計画）：ゴールから逆算する思考法,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,11,計画倒れを防ぐ「バッファ時間」の設定術,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,12,Do（実行）：集中力を最大化する環境づくり,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,13,ポモドーロテクニック：25分集中×5分休憩の科学,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,14,Check（評価）：進捗を毎日5分で振り返る習慣,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,15,「やったつもり」を防ぐセルフチェック法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,16,Action（改善）：小さな改善を積み重ねる力,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,17,PDCAが回らない人の共通点とは,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,18,To Doリストの正しい書き方：具体的な動詞で始める,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,19,スケジュール管理ツールの選び方と使い分け,5,5,4,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,20,「完璧主義」が仕事を遅くする：80点で提出する勇気,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,2,仕事の優先順位と進め方（基本のPDCA）,21,実践ワーク：1週間のタスクをPDCAで管理してみよう,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,1,リアリティショックとは：理想と現実のギャップ,5,5,5,4,入社3ヶ月フォローアップ講座_Unit3_完全版,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,2,なぜ3ヶ月目に「辞めたい」と思うのか,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,3,脳科学が解明：期待と現実のズレが脳にストレスを与える,4,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,4,Z世代特有の「承認欲求」と職場のギャップ,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,5,SNS世代が感じる「即時フィードバック」の不在,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,6,「意味のある仕事」を求めるZ世代の価値観,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,7,理想の職場と現実の職場：5つのギャップ,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,8,リアリティショックの乗り越え方：認知の再構築,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,9,「こんなはずじゃなかった」を「学びのチャンス」に変える,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,10,心理学の「認知的不協和」を理解して自分を守る,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,11,期待を「適応的な期待」に調整する方法,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,12,先輩社員の体験談：私もリアリティショックを経験した,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,13,小さな成功体験を積み重ねる「マイクロゴール」設定法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,14,上司や先輩に相談する勇気：孤立が最大の敵,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,15,「自分だけじゃない」：同期との対話で気持ちを共有,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,16,ストレス対処法：セルフケアの基本,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,17,睡眠・運動・食事：心の健康を支える3本柱,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,18,趣味や友人との時間：仕事以外の居場所を持つ重要性,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,19,レジリエンス（回復力）を高める3つの習慣,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,20,「辞める」と決める前に試してほしい5つのこと,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,3,Z世代のリアリティショック緩和法,21,実践ワーク：自分の理想と現実を書き出してみよう,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,1,入社3ヶ月：振り返りがなぜ重要なのか,5,5,5,4,入社3ヶ月フォローアップ講座_Unit4,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,2,振り返りの効果：成長を「見える化」する,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,3,脳科学が証明：振り返りが記憶を強化する,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,4,入社時の自分と今の自分：何が変わったか,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,5,できるようになったこと10個を書き出す,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,6,まだできないこと：課題を明確にする,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,7,「強み」を発見する：ストレングスファインダー的思考,4,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,8,上司や先輩からのフィードバックを受け止める姿勢,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,9,ポジティブフィードバックとネガティブフィードバックの活用法,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,10,目標設定の科学：SMARTゴールで具体化する,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,11,Specific（具体的）：「頑張る」ではなく「〇〇を達成する」,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,12,Measurable（測定可能）：数字で進捗を追える目標に,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,13,Achievable（達成可能）：背伸びしすぎない現実的な目標,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,14,Relevant（関連性）：会社の目標と自分の目標をつなげる,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,15,Time-bound（期限）：6ヶ月後の自分を想像する,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,16,目標達成のための行動計画を立てる,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,17,行動経済学の「コミットメント効果」：目標を宣言する力,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,18,月次で振り返る習慣：PDCAを回し続ける,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,19,3ヶ月後の自分へのメッセージを書く,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社3ヶ月フォローアップ講座,4,3ヶ月の振り返りと目標の再設定,20,実践ワーク：3ヶ月の振り返りシートを作成しよう,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,1,入社6ヶ月：なぜ「中だるみ」が起きるのか,5,5,5,5,入社6ヶ月フォローアップ講座_Unit1,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,2,脳科学が解明：慣れが「飽き」を生むメカニズム,4,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,3,モチベーションの正体：外発的動機と内発的動機,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,4,ドーパミンサイクル：小さな達成感が意欲を生む,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,5,「やらされ感」から「やりたい感」への転換法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,6,目標の再確認：入社時の志を思い出す,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,7,自己決定理論：自律性・有能感・関係性の3要素,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,8,仕事に「意味」を見出す質問法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,9,ルーティンワークを「学びの機会」に変える視点,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,10,行動経済学の「損失回避」：今辞めたら失うものは何か,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,11,マンネリ打破：新しいチャレンジを探す方法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,12,「ストレッチゾーン」で成長を加速させる,4,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,13,上司に「新しい仕事」を依頼する勇気,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,14,同期と比較して焦る気持ちの対処法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,15,心理学の「比較の罠」：他人ではなく過去の自分と比べる,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,16,セルフトーク：ポジティブな自己対話の習慣,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,17,モチベーションを維持する「ご褒美システム」の設計,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,18,燃え尽き症候群（バーンアウト）の初期サイン,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,19,休息の科学：適切な休憩が生産性を2倍にする,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,20,ワークライフバランス：仕事以外の充実が仕事を活性化,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,21,6ヶ月の成果を可視化する「成長記録ノート」,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,1,中だるみ防止とモチベーション管理,22,実践ワーク：モチベーション曲線を描いてみよう,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,1,なぜ「連携」が仕事の成否を分けるのか,5,5,5,5,入社6ヶ月フォローアップ講座_Unit2,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,2,組織心理学：チームワークが生産性を3倍にする,4,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,3,縦割り組織の「サイロ化」がもたらす弊害,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,4,先輩との距離感：近すぎず遠すぎずの絶妙なバランス,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,5,先輩に好かれる「質問力」の磨き方,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,6,「調べてから聞く」が信頼を生む,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,7,先輩の時間を奪わない「事前準備」のコツ,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,8,教えてもらったら必ず「感謝」を伝える習慣,5,5,4,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,9,返報性の原理：小さな恩が大きな協力を生む,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,10,他部署の役割を理解する：組織図を頭に入れる,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,11,他部署に協力を依頼するときの「3つのステップ」,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,12,社内ネットワーキング：ランチや雑談の重要性,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,13,弱い紐帯の強み：意外な人脈が仕事を助ける,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,14,会議での発言：6ヶ月目から求められる積極性,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,15,心理的安全性：失敗を恐れずに意見を言える環境,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,16,傾聴力：相手の話を「聴く」技術,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,17,アクティブリスニング：要約・共感・質問の3ステップ,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,18,情報共有のタイミング：早すぎず遅すぎず,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,19,チャットツールのマナー：即レスと熟考のバランス,5,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,20,クロスファンクショナルな視点：部署を超えた価値創造,4,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,21,社内政治を理解する：誰がキーパーソンか見極める,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,2,先輩・他部署との効果的な連携術,22,実践ワーク：社内人脈マップを作成してみよう,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,1,「指示待ち」はなぜダメなのか,5,5,5,5,入社6ヶ月フォローアップ講座_Unit3,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,2,主体性とは：自ら考え、自ら動く力,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,3,脳科学が証明：受動的な状態は脳を退化させる,4,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,4,Z世代の「指示待ち傾向」：その背景を理解する,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,5,失敗を恐れる心理：完璧主義の罠,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,6,「正解がないと動けない」から脱却する方法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,7,主体性を発揮する第一歩：小さな提案から始める,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,8,「こうしたらどうでしょうか？」の魔法の言葉,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,9,問題発見力：現状に疑問を持つ習慣,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,10,「なぜ？」を5回繰り返す：トヨタ式問題解決法,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,11,改善提案の作り方：現状→課題→解決策の3ステップ,5,5,5,4,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,12,上司を動かす提案：データと根拠を添える,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,13,行動経済学の「フレーミング効果」：伝え方で結果が変わる,4,5,4,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,14,「やってみてもいいですか？」の承認技術,5,5,5,5,,,,,,,,,,,,,,,
新入社員フォローアップ,入社6ヶ月フォローアップ講座,3,「指示待ち」からの脱却（主体性の発揮）,15,自己効力感：「自分にもできる」という信念を育てる,4,5,5,4,,,,,,,,,,,,,,,
